Locations,Category Level 2,Category Level 3,Category Level 4,Category Level 5,Brand House,Brand,Product,Pack Size,Month,Total Retail Sales,Total Units,Original List Price,Discount List Price,Pack ARP,EQ ARP,Cost
Barboursville Cannabis Company (Barboursville),Vape,Vape Cartridge,Distillate Cartridge,,The Cannabist,Classix Brand,"Classix Brand - Red Rocket - Distillate Cartridge, 1000mg, 1 Count",1000mg,4/1/2026,262.9256926,6.045684919,60,48,43.48981069,,
Barboursville Cannabis Company (Barboursville),Vape,Vape Cartridge,Distillate Cartridge,,The Cannabist,Classix Brand,"Classix Brand - Wild Thailand - Distillate Cartridge, 500mg, 1 Count",500mg,4/1/2026,70.08093172,3.627410952,40,32,19.3198214,,
Barboursville Cannabis Company (Barboursville),Vape,Vape Cartridge,Distillate Cartridge,,The Cannabist,Seed & Strain Cannabis Company,"Seed & Strain Cannabis Company - Blue Raspberry Rush - Distillate Cartridge, 1000mg, 1 Count",1000mg,4/1/2026,381.2203188,8.463958887,60,48,45.04042658,,
Barboursville Cannabis Company (Barboursville),Vape,Vape Cartridge,Distillate Cartridge,,The Cannabist,Seed & Strain Cannabis Company,"Seed & Strain Cannabis Company - Bubble Pop - Distillate Cartridge, 1000mg, 1 Count",1000mg,4/1/2026,157.4090139,3.627410952,60,48,43.39431511,,
Barboursville Cannabis Company (Barboursville),Vape,Vape Cartridge,Distillate Cartridge,,The Cannabist,Seed & Strain Cannabis Company,"Seed & Strain Cannabis Company - Coconut Cream - Distillate Cartridge, 500mg, 1 Count",500mg,4/1/2026,28.12342703,1.209136984,40,,23.25909091,,
Barboursville Cannabis Company (Barboursville),Vape,Vape Cartridge,Distillate Cartridge,,The Cannabist,Seed & Strain Cannabis Company,"Seed & Strain Cannabis Company - Lime Lightning - Distillate Cartridge, 1000mg, 1 Count",1000mg,4/1/2026,200.8718774,4.836547936,60,48,41.5320762,,
Barboursville Cannabis Company (Barboursville),Vape,Vape Cartridge,Distillate Cartridge,,The Cannabist,Seed & Strain Cannabis Company,"Seed & Strain Cannabis Company - Peaches And Cream - Distillate Cartridge, 1000mg, 1 Count",1000mg,4/1/2026,161.7281869,3.627410952,60,48,44.58501919,,
Barboursville Cannabis Company (Barboursville),Vape,Vape Cartridge,Distillate Cartridge,,The Cannabist,Seed & Strain Cannabis Company,"Seed & Strain Cannabis Company - Peaches And Cream - Distillate Cartridge, 500mg, 1 Count",500mg,4/1/2026,197.6570079,7.254821903,40,,27.24491525,,
Barboursville Cannabis Company (Barboursville),Vape,Vape Cartridge,Distillate Cartridge,,The Cannabist,Seed & Strain Cannabis Company,"Seed & Strain Cannabis Company - Pineapple Pop - Distillate Cartridge, 500mg, 1 Count",500mg,4/1/2026,71.26250337,2.418273968,40,,29.46833333,,
Barboursville Cannabis Company (Barboursville),Vape,Vape Cartridge,Distillate Cartridge,,The Cannabist,Seed & Strain Cannabis Company,"Seed & Strain Cannabis Company - Sweet Strawberry - Distillate Cartridge, 1000mg, 1 Count",1000mg,4/1/2026,105.529645,2.418273968,60,48,43.63841583,,
