restockMaster[state],restockMaster[productDescription],restockMaster[productName],restockMaster[location],restockMaster[vendor],restockMaster[brand],restockMaster[primaryCategory],restockMaster[subCategory],restockMaster[productGramsMapped],[SumtransactionItemsTotalBeforeTax],[Quantity],[Qty_Sold___Day],[Days_in_Stock],[Adj_Qty_Sold___Day],[SumtransactionItemsTotalCost],[GP],[SumtransactionItemsTotalDiscount],[SuminventoryQuantity],[SuminventoryCost],[Avg_Inventory_Age],[Avg_Cost],[Avg_Price],[Avg_Margin],[Par],[Par__Adj_],[Weekly_Usage],[Restock_Amt],[Restock__],[DOS],[Adj_Restock_Amt],[Adj_Restock__],[DOS__Adj_]
Arizona,Savvy All In One 1g,Savvy KY Jealous Live Resin 1g All-In-One,ZEN-Gilbert (VL),Verano,Savvy,Vape,All In One,1 g,1181.27,45,0.75,36,1.25,1102.5,78.77,1045.48,0,0,,24.5,26.25,0.066682469,15.75,26,5,21,514.5,0,35,857.5,0
Florida,MUV Sublingual Dropper 0.6g,MÜV Dosilato RSO Tincture 600mg (30mL),MUV-Gainesville,Verano,MUV,Tincture,Sublingual,0.6 g,1181.27,35,0.58333,54,0.648148148,0,1181.27,1119.98,13,,30,0,33.75,1,12.24993,14,4,3.33,0,22.28584163,5,0,20.05714286
Florida,Savvy All In One 2g,Savvy Summer Melon 2g All-In-One,MUV-Port Richey,Verano,Savvy,Vape,All In One,2 g,1181.25,26,0.43333,61,0.426229508,397.4863101,783.7636899,1295.25,14,252.9458337,35,15.29,45.43,0.663503653,9.09993,9,3,-1.87,-28.59,32.30794083,-2,-30.58,32.84615385
Arizona,Stiiizy Multi-Pack Infused Blunt 2.5g,STIIIZY Orange Sunset Infused Blunt 2.5g [5pk],ZEN-Mesa,Stiiizy,Stiiizy,Pre-Roll,Multi-Pack,2.5 g,1181.24,47,0.78333,46,1.02173913,634.5,546.74,816.26,46,621,4,13.5,25.13,0.462852596,16.44993,21,5,-24.07,-324.95,58.72365414,-17,-229.5,45.0212766
Nevada,Dime All In One 1g,Dime Dime OG Live Resin 1g All-In-One,ZEN-Carson City,Dime,Dime,Vape,All In One,1 g,1181.22,35,0.58333,56,0.625,623.85,557.37,936.28,5,124.75,55,17.82,33.75,0.471859603,12.24993,13,4,11.33,201.9,8.571477551,13,231.66,8
Arizona,Tumble Multi-Pack Infused 1.5g,Tumble Blue Dream Infused Pre-Roll 1.5g [3pk],ZEN-Gilbert (VL),Timeless,Tumble,Pre-Roll,Multi-Pack,1.5 g,1181.21,73,1.21667,42,1.738095238,876,305.21,1043.54,0,0,,12,16.18,0.258387586,25.55007,37,9,34.07,408.84,0,49,588,0
Illinois,Dogwalkers Multi-Pack Infused 2.25g,Dogwalkers Durban Z Infused Pre-Roll 2.25g [5pk],ZEN-Highland Park,GTI,Dogwalkers,Pre-Roll,Multi-Pack,2.25 g,1181.18,39,0.65,36,1.083333333,614.25,566.93,593.32,0,0,,15.75,30.29,0.479969183,13.65,23,5,18.2,286.65,0,30,472.5,0
Connecticut,Rythm Small Buds 7g,Rythm Black Maple 22 7g Smalls,ZEN-Naugatuck,GTI,Rythm,Flower,Small Buds,7 g,1181.18,23,0.38333,35,0.657142857,747.5,433.68,291.57,7,227.5,34,32.5,51.36,0.367158265,8.04993,14,3,3.73,121.23,18.26102836,11,357.5,10.65217391
Florida,Savvy Flower 14g,Savvy Pineapple Upside Down Cake 14g,MUV-Titusville,Verano,Savvy,Flower,Flower,14 g,1181.18,21,0.35,32,0.65625,255.5651674,925.6148326,504.07,9,143.7554067,31,12.17,56.25,0.783635714,7.35,14,2,0.8,9.74,25.71428571,9,109.53,13.71428571
Arizona,Drip All In One 2g,Drip Hardcore OG 2g All-In-One,ZEN-Chandler,TruMed,Drip,Vape,All In One,2 g,1181.15,32,0.53333,61,0.524590164,648,533.15,754.35,5,101.25,52,20.25,36.91,0.451382128,11.19993,11,4,9.93,201.08,9.375058594,10,202.5,9.53125
New Jersey,Grown Rogue Whole Buds 3.5g,Grown Rogue Reserve Cap Junky 3.5g Flower,ZEN-Neptune,Grown Rogue,Grown Rogue,Flower,Whole Buds,3.5 g,1181.05,32,0.53333,14,2.285714286,704,477.05,594.95,0,0,,22,36.91,0.40392024,11.19993,48,4,14.93,328.46,0,64,1408,0
Virginia,Dharma Whole Buds 3.5g,Dharma Flower - 3.5g - Cheddar Cheeze - Rythm,ZEN-Portsmouth,GTI,Dharma,Flower,Whole Buds,3.5 g,1181,22,0.36667,3,7.333333333,660,521,150,,,,30,53.68,0.441151566,7.70007,154,3,10.27,308.1,,205,6150,
Florida,(the) Essence Whole Buds 14g,(the) Essence GG #4 14g,MUV-Lakeland,Verano,(the) Essence,Flower,Whole Buds,14 g,1180.94,17,0.28333,48,0.354166667,247.9997485,932.9402515,1543.31,5,77.49992142,5,14.59,69.47,0.789998011,5.94993,7,2,2.93,42.75,17.64726644,5,72.95,14.11764706
Florida,MUV Whole Buds 7g,MÜV Black Amber 7g,MUV-Key West,Verano,MUV,Flower,Whole Buds,7 g,1180.93,26,0.43333,27,0.962962963,167.0807644,1013.849236,1165.57,0,0,,6.43,45.42,0.858517639,9.09993,20,3,12.13,78,0,27,173.61,0
Florida,Savvy Cartridge 2g,Savvy Extra Rainbow Belts 2g,MUV-Boynton Beach,Verano,Savvy,Vape,Cartridge,2 g,1180.92,32,0.53333,61,0.524590164,555.1771374,625.7428626,1675.08,18,333.1062824,19,17.35,36.9,0.529877437,11.19993,11,4,-3.07,-53.26,33.75021094,-3,-52.05,34.3125
Ohio,Select All In One 2g,Curaleaf | Select | Disposable | Elite Briq | GG4 (H) | 2g,ZEN-Canton,Curaleaf,Select,Vape,All In One,2 g,1180.9,20,0.33333,29,0.689655172,525,655.9,229.1,,,,26.25,59.05,0.555423829,6.99993,14,2,9.33,244.91,,19,498.75,
Pennsylvania,Savvy Flower 28g,Savvy ScoutZ 28g Flower,ZEN-Malvern,Verano,Savvy,Flower,Flower,28 g,1180.89,12,0.2,14,0.857142857,1110,70.89,1165.11,0,0,,92.5,98.41,0.060030994,4.2,18,1,5.6,518,0,24,2220,0
